firm_name,acsyear,product,allowance,gross_loans,coverage,basis,entity,currency,source_url,source_table,source_page,notes
HSBC,2017,mortgage,,,,IAS39,HSBC Holdings group,USD,https://www.hsbc.com/-/files/hsbc/investors/investing-in-hsbc/all-reporting/group/2016/annual-results/hsbc-holdings-plc/170221-annual-report-and-accounts-2016.pdf,"Total personal lending (regional, not UK)",2016 group ARA,"GAP: group ARA splits personal lending by region (Europe/Asia/...), not UK; 'Europe' is broader than the UK. UK split would need the HSBC Bank plc 2016 subsidiary ARA (not catalogued; mirror URL 404s)."
HSBC,2017,unsecured_retail,,,,IAS39,HSBC Holdings group,USD,https://www.hsbc.com/-/files/hsbc/investors/investing-in-hsbc/all-reporting/group/2016/annual-results/hsbc-holdings-plc/170221-annual-report-and-accounts-2016.pdf,"Total personal lending (regional, not UK)",2016 group ARA,GAP: regional split only (Europe != UK). See HSBC 2017 mortgage note.
HSBC,2018,mortgage,,,,IAS39,HSBC Holdings group (Pillar 3),USD,https://www.hsbc.com/-/files/hsbc/investors/investing-in-hsbc/all-reporting/group/2017/annual-results/hsbc-holdings-plc/180220-pillar-3-disclosures-31-december-2017.pdf,"Pillar 3 (regulatory exposure classes, no UK product loans/allowance table)",2017 Pillar 3,"GAP: FY2017 Pillar 3 is Basel EAD/RWA by exposure class, no IAS 39 UK-product gross+allowance. UK split would need the HSBC Bank plc 2017 subsidiary ARA (not catalogued)."
HSBC,2018,unsecured_retail,,,,IAS39,HSBC Holdings group (Pillar 3),USD,https://www.hsbc.com/-/files/hsbc/investors/investing-in-hsbc/all-reporting/group/2017/annual-results/hsbc-holdings-plc/180220-pillar-3-disclosures-31-december-2017.pdf,Pillar 3 (regulatory exposure classes),2017 Pillar 3,GAP: see HSBC 2018 mortgage note.
HSBC,2019,mortgage,107,94703,0.00113,IFRS9,HSBC UK Bank plc,GBP,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2018/annual/hsbc-uk-bank-plc/190219-annual-report-and-accounts-2018.pdf,Total personal lending by stage distribution: First lien residential mortgages,"printed p40 (PDF p42), 2018 HSBC UK Bank plc ARA","First lien UK residential mortgages, ring-fenced HSBC UK Bank plc (first exists FY2018). IFRS 9 ECL, all stages. Entity scope differs from FY2015 HSBC Bank plc (UK column)."
HSBC,2019,unsecured_retail,458,15505,0.029539,IFRS9,HSBC UK Bank plc,GBP,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2018/annual/hsbc-uk-bank-plc/190219-annual-report-and-accounts-2018.pdf,Total personal lending by stage distribution: Other personal lending,"printed p40 (PDF p42), 2018 HSBC UK Bank plc ARA","Other personal lending = 'other' (personal loans & overdrafts 8,226/218) + credit cards (7,279/240); no motor line in the UK ring-fenced bank. IFRS 9 ECL, all stages."
HSBC,2022,mortgage,163,118077,0.00138,IFRS9,HSBC UK Bank plc,GBP,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2021/annual/pdfs/hsbc-uk-bank-plc/220222-annual-report-and-accounts-2021.pdf,Total personal lending by stage distribution: First lien residential mortgages,"printed p47 (PDF p49), 2021 HSBC UK Bank plc ARA","First lien UK residential mortgages. IFRS 9 ECL, all stages."
HSBC,2022,unsecured_retail,604,13241,0.045616,IFRS9,HSBC UK Bank plc,GBP,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2021/annual/pdfs/hsbc-uk-bank-plc/220222-annual-report-and-accounts-2021.pdf,Total personal lending by stage distribution: Other personal lending,"printed p47 (PDF p49), 2021 HSBC UK Bank plc ARA","Other personal lending = 'other' (7,222/285) + credit cards (6,019/319); no motor. IFRS 9 ECL."
Lloyds Banking Group,2016,mortgage,1431,302413,0.004732,IAS39,Lloyds Banking Group,GBP,https://www.lloydsbankinggroup.com/assets/pdfs/investors/annual-report/2015-download-links/2015_lbg_annual_report.pdf,Table 1.10 Retail impaired loans and provisions (Secured),PDF p132 (2015 ARA),Secured = UK residential mortgages. IAS 39 total impairment provisions / gross.
Lloyds Banking Group,2016,unsecured_retail,350,19342,0.018095,IAS39,Lloyds Banking Group,GBP,https://www.lloydsbankinggroup.com/assets/pdfs/investors/annual-report/2015-download-links/2015_lbg_annual_report.pdf,"Table 1.10 (Loans & overdrafts 197/9,917) + Table 1.26 Consumer Finance (Credit Cards 153/9,425)",PDF p132 & p139 (2015 ARA),"Unsecured = Credit cards + personal loans + overdrafts (allowance 350m, gross 19,342m). Excludes Asset/Motor Finance (UK+Europe), Wealth, Retail Business Banking. IAS 39."
Lloyds Banking Group,2017,mortgage,1503,294503,0.005104,IAS39,Lloyds Banking Group,GBP,https://www.lloydsbankinggroup.com/assets/pdfs/investors/annual-report/2016-download-links/2016_lbg_annual_report.pdf,Table 1.9 Retail impaired loans and provisions (Secured),PDF p136 (2016 ARA),Secured = UK residential mortgages. IAS 39 total impairment provisions / gross.
Lloyds Banking Group,2017,unsecured_retail,339,19562,0.01733,IAS39,Lloyds Banking Group,GBP,https://www.lloydsbankinggroup.com/assets/pdfs/investors/annual-report/2016-download-links/2016_lbg_annual_report.pdf,"Table 1.9 (Overdrafts 90/1,952) + Table 1.24 Consumer Finance (Credit cards 157/9,843, Loans 92/7,767)",PDF p136 & p144 (2016 ARA),"Unsecured = Credit cards + Loans + Overdrafts (allowance 339m, gross 19,562m). Excludes UK Motor Finance, Europe, Wealth, Retail Business Banking. IAS 39."
Lloyds Banking Group,2018,mortgage,1443,292187,0.004939,IAS39,Lloyds Banking Group,GBP,https://www.lloydsbankinggroup.com/assets/pdfs/investors/annual-report/2017-download-links/2017_lbg_annual_report.pdf,Table 1.9: Retail impaired loans and provisions,p123 (PDF p125),Secured = UK residential mortgages. IAS 39 total impairment provisions (incl. collective unidentified) / gross loans and advances. Lloyds' own printed metric is provisions/impaired-loans = 37.1%.
Lloyds Banking Group,2018,unsecured_retail,487,27739,0.017557,IAS39,Lloyds Banking Group,GBP,https://www.lloydsbankinggroup.com/assets/pdfs/investors/annual-report/2017-download-links/2017_lbg_annual_report.pdf,Table 1.9: Retail impaired loans and provisions,p123 (PDF p125),"Unsecured = Credit cards (267/18,134) + Loans (107/8,010) + Overdrafts (113/1,595); allowance 487m, gross 27,739m. Excludes UK Motor Finance, Retail Business Banking, Europe. IAS 39 incurred-loss basis (runs below the IFRS 9 unsecured band by design)."
Lloyds Banking Group,2019,mortgage,1462,289237,0.005055,IFRS9,Lloyds Banking Group,GBP,https://www.lloydsbankinggroup.com/assets/pdfs/investors/annual-report/2018-download-links/2018_lbg_annual_report.pdf,"Retail, underlying basis: Table 1.10a (gross lending) & Table 1.11a (ECL allowances)","p124 (gross), p126 (allowance)",Secured = UK residential mortgages (Retail division). Underlying basis (excludes HBOS/MBNA acquisition adjustments); reproduces Lloyds' printed 0.5%. Statutory-basis allowance was GBP460m (Table 1.11).
Lloyds Banking Group,2019,unsecured_retail,980,27990,0.035013,IFRS9,Lloyds Banking Group,GBP,https://www.lloydsbankinggroup.com/assets/pdfs/investors/annual-report/2018-download-links/2018_lbg_annual_report.pdf,"Retail, underlying basis: Table 1.10a (gross lending) & Table 1.11a (ECL allowances)","p124 (gross), p126 (allowance)","Unsecured = Credit cards, Loans and Overdrafts (report footnote 2); UK Motor Finance excluded (separate segment). Underlying basis; reproduces printed 3.5%. Statutory-basis allowance was GBP896m (Table 1.11)."
Nationwide,2016,mortgage,102,162164,0.000629,IAS39,Nationwide Building Society,GBP,https://www.nationwide.co.uk/-/assets/nationwidecouk/documents/about/how-we-are-run/results-and-accounts/2015-2016/annual-report-and-accounts-2016.pdf,Maximum exposure to lending risk (Business and Risk Report),"p112 (PDF p113), FYE 4 Apr 2016","Residential mortgages. Consumer banking = unsecured lending (current-account overdrafts, personal loans, credit cards); Nationwide has no motor book. Allowance = balance-sheet impairment provision stock. Year-end 4 April (nearest to the ACS start point)."
Nationwide,2016,unsecured_retail,281,3869,0.072629,IAS39,Nationwide Building Society,GBP,https://www.nationwide.co.uk/-/assets/nationwidecouk/documents/about/how-we-are-run/results-and-accounts/2015-2016/annual-report-and-accounts-2016.pdf,Maximum exposure to lending risk (Business and Risk Report),"p112 (PDF p113), FYE 4 Apr 2016","Consumer banking = unsecured lending (current-account overdrafts, personal loans, credit cards); Nationwide has no motor book. Allowance = balance-sheet impairment provision stock. Year-end 4 April (nearest to the ACS start point)."
Nationwide,2017,mortgage,144,171263,0.000841,IAS39,Nationwide Building Society,GBP,https://www.nationwide.co.uk/-/assets/nationwidecouk/documents/about/how-we-are-run/results-and-accounts/2017-2018/annual-report-and-accounts-2018.pdf,Maximum exposure to credit risk — 2017 comparative column (Business and Risk Report),"p106 (PDF p107), FYE 4 Apr 2017 comparative in the 2018 ARA","Residential mortgages; 4 Apr 2017 taken from the 2018 ARA's prior-year comparative column (standalone 2017 ARA not catalogued). Consumer banking = unsecured lending (current-account overdrafts, personal loans, credit cards); Nationwide has no motor book. Allowance = balance-sheet impairment provision stock. Year-end 4 April (nearest to the ACS start point)."
Nationwide,2017,unsecured_retail,269,3949,0.068119,IAS39,Nationwide Building Society,GBP,https://www.nationwide.co.uk/-/assets/nationwidecouk/documents/about/how-we-are-run/results-and-accounts/2017-2018/annual-report-and-accounts-2018.pdf,Maximum exposure to credit risk — 2017 comparative column (Business and Risk Report),"p106 (PDF p107), FYE 4 Apr 2017 comparative in the 2018 ARA","4 Apr 2017 from the 2018 ARA comparative column. Consumer banking = unsecured lending (current-account overdrafts, personal loans, credit cards); Nationwide has no motor book. Allowance = balance-sheet impairment provision stock. Year-end 4 April (nearest to the ACS start point)."
Nationwide,2018,mortgage,145,177299,0.000818,IAS39,Nationwide Building Society,GBP,https://www.nationwide.co.uk/-/assets/nationwidecouk/documents/about/how-we-are-run/results-and-accounts/2017-2018/annual-report-and-accounts-2018.pdf,Maximum exposure to credit risk (Business and Risk Report),"p106 (PDF p107), FYE 4 Apr 2018","Residential mortgages; last IAS 39 year (IFRS 9 adopted 5 Apr 2018). Consumer banking = unsecured lending (current-account overdrafts, personal loans, credit cards); Nationwide has no motor book. Allowance = balance-sheet impairment provision stock. Year-end 4 April (nearest to the ACS start point)."
Nationwide,2018,unsecured_retail,298,4107,0.072559,IAS39,Nationwide Building Society,GBP,https://www.nationwide.co.uk/-/assets/nationwidecouk/documents/about/how-we-are-run/results-and-accounts/2017-2018/annual-report-and-accounts-2018.pdf,Maximum exposure to credit risk (Business and Risk Report),"p106 (PDF p107), FYE 4 Apr 2018","Last IAS 39 year. Consumer banking = unsecured lending (current-account overdrafts, personal loans, credit cards); Nationwide has no motor book. Allowance = balance-sheet impairment provision stock. Year-end 4 April (nearest to the ACS start point)."
Nationwide,2019,mortgage,206,185940,0.001108,IFRS9,Nationwide Building Society,GBP,https://www.nationwide.co.uk/-/assets/nationwidecouk/documents/about/how-we-are-run/results-and-accounts/2018-2019/annual-report-and-accounts-2019.pdf,Maximum exposure to credit risk — amortised cost (Business and Risk Report),"p108 (PDF p109), FYE 4 Apr 2019","Residential mortgages, amortised cost; first IFRS 9 year. A small FVTPL mortgage line (GBP72m, no impairment) is excluded. Consumer banking = unsecured lending (current-account overdrafts, personal loans, credit cards); Nationwide has no motor book. Allowance = balance-sheet impairment provision stock. Year-end 4 April (nearest to the ACS start point)."
Nationwide,2019,unsecured_retail,418,4586,0.091147,IFRS9,Nationwide Building Society,GBP,https://www.nationwide.co.uk/-/assets/nationwidecouk/documents/about/how-we-are-run/results-and-accounts/2018-2019/annual-report-and-accounts-2019.pdf,Maximum exposure to credit risk — amortised cost (Business and Risk Report),"p108 (PDF p109), FYE 4 Apr 2019","First IFRS 9 year (ECL, all stages). Consumer banking = unsecured lending (current-account overdrafts, personal loans, credit cards); Nationwide has no motor book. Allowance = balance-sheet impairment provision stock. Year-end 4 April (nearest to the ACS start point)."
Nationwide,2022,mortgage,187,198056,0.000944,IFRS9,Nationwide Building Society,GBP,https://www.nationwide.co.uk/-/assets/nationwidecouk/documents/about/how-we-are-run/results-and-accounts/2021-2022/annual-report-and-accounts-2022.pdf,Maximum exposure to credit risk — amortised cost (Business and Risk Report),"p142 (PDF p143), FYE 4 Apr 2022","Residential mortgages, amortised cost. A small FVTPL mortgage line (GBP64m, no impairment) is excluded. Consumer banking = unsecured lending (current-account overdrafts, personal loans, credit cards); Nationwide has no motor book. Allowance = balance-sheet impairment provision stock. Year-end 4 April (nearest to the ACS start point)."
Nationwide,2022,unsecured_retail,529,4638,0.114058,IFRS9,Nationwide Building Society,GBP,https://www.nationwide.co.uk/-/assets/nationwidecouk/documents/about/how-we-are-run/results-and-accounts/2021-2022/annual-report-and-accounts-2022.pdf,Maximum exposure to credit risk — amortised cost (Business and Risk Report),"p142 (PDF p143), FYE 4 Apr 2022","IFRS 9 ECL, all stages. Consumer banking = unsecured lending (current-account overdrafts, personal loans, credit cards); Nationwide has no motor book. Allowance = balance-sheet impairment provision stock. Year-end 4 April (nearest to the ACS start point)."
Santander UK,2016,mortgage,424,152819,0.002775,IAS39,Santander UK plc,GBP,https://www.santander.co.uk/assets/s3fs-public/documents/santander_uk_plc_2015_annual_report_final.pdf,Credit performance - mortgages (Impairment loan loss allowances),"printed p69 (PDF p71), 2015 AR",Mortgage gross includes Social Housing loans and finance leases (footnote 2). IAS 39.
Santander UK,2016,unsecured_retail,188,5571,0.033746,IAS39,Santander UK plc,GBP,https://www.santander.co.uk/assets/s3fs-public/documents/santander_uk_plc_2015_annual_report_final.pdf,Credit performance - vehicle/consumer & other unsecured finance,"printed p76 (PDF p78), 2015 AR","Unsecured = Personal loans (60/2,201) + Credit cards (86/2,834) + Overdrafts (42/536) = 188/5,571. Vehicle/auto (136/6,290) and Business banking (14/150) excluded. IAS 39."
Santander UK,2017,mortgage,279,154274,0.001808,IAS39,Santander UK plc,GBP,https://assets.santandermedia.com/adobe/assets/urn:aaid:aem:0fcc03f2-b9cd-47d4-b8f8-9af17b06b32b/original/as/santander_uk_plc_2016_annual_report.pdf,Credit performance - mortgages,"printed p59 (PDF p61), 2016 AR",Mortgage gross incl. Social Housing/finance leases. IAS 39.
Santander UK,2017,unsecured_retail,169,5273,0.03205,IAS39,Santander UK plc,GBP,https://assets.santandermedia.com/adobe/assets/urn:aaid:aem:0fcc03f2-b9cd-47d4-b8f8-9af17b06b32b/original/as/santander_uk_plc_2016_annual_report.pdf,"Credit performance - business banking, consumer finance & other unsecured","printed p65 (PDF p67), 2016 AR","Unsecured = Personal (55/2,229) + Credit cards (77/2,493) + Overdrafts (37/551) = 169/5,273. Consumer/auto (146/6,764) and Business banking (57/2,327) excluded. IAS 39."
Santander UK,2018,mortgage,225,154944,0.001452,IAS39,Santander UK plc,GBP,https://www.santander.co.uk/assets/s3fs-public/documents/santander_uk_plc_2017_annual_report_opco.pdf,Credit performance - mortgages,"printed p82 (PDF p84), 2017 opco AR",Mortgage gross incl. Social Housing/finance leases. IAS 39. FY2017 opco AR located by search (not catalogued).
Santander UK,2018,unsecured_retail,135,5178,0.026072,IAS39,Santander UK plc,GBP,https://www.santander.co.uk/assets/s3fs-public/documents/santander_uk_plc_2017_annual_report_opco.pdf,Credit performance - consumer (auto) finance & other unsecured (Total other unsecured),"printed p87 (PDF p89), 2017 opco AR","Unsecured = printed 'Total other unsecured' = Personal (44/2,169) + Credit cards (62/2,444) + Overdrafts (29/565) = 135/5,178. Consumer (auto) finance (77/6,957) excluded. IAS 39."
Santander UK,2019,mortgage,234,157957,0.001481,IFRS9,Santander UK plc,GBP,https://www.santander.co.uk/assets/s3fs-public/documents/2018_annual_report_santander_uk_plc-v2.pdf,Credit performance - mortgages (Loss allowances),"printed p79 (PDF p81), 2018 AR","IFRS 9 ECL, all stages, on+off balance sheet (per footnote; off-balance ~GBP3m). Mortgage gross incl. Social Housing/finance leases."
Santander UK,2019,unsecured_retail,220,5640,0.039007,IFRS9,Santander UK plc,GBP,https://www.santander.co.uk/assets/s3fs-public/documents/2018_annual_report_santander_uk_plc-v2.pdf,Credit performance - consumer (auto) finance & other unsecured (Total other unsecured),"printed p83 (PDF p85), 2018 AR","Unsecured = 'Total other unsecured' = Personal (47/2,182) + Credit cards (112/2,865) + Overdrafts (61/593) = 220/5,640. Consumer (auto) finance (85/7,347) excluded. IFRS 9 ECL."
Santander UK,2022,mortgage,191,177297,0.001077,IFRS9,Santander UK Group Holdings plc,GBP,https://www.santander.co.uk/assets/s3fs-public/documents/santander_uk_group_holdings_plc_2021_annual_report_1.pdf,Credit performance (audited) - mortgages (Loss allowances),"printed p131 (PDF p133), 2021 AR","IFRS 9 ECL, all stages, on+off balance sheet. Entity = Santander UK Group Holdings plc (vs Santander UK plc opco used for 2016-2019 ACS)."
Santander UK,2022,unsecured_retail,176,4779,0.036828,IFRS9,Santander UK Group Holdings plc,GBP,https://www.santander.co.uk/assets/s3fs-public/documents/santander_uk_group_holdings_plc_2021_annual_report_1.pdf,Credit performance (audited) - other unsecured (Total other unsecured),"printed p138 (PDF p140), 2021 AR","Unsecured = 'Total other unsecured' = Personal (47/2,000) + Credit cards (89/2,341) + Overdrafts (40/438) = 176/4,779. Business banking (22/3,532) excluded; consumer/auto is a separate table. IFRS 9 ECL."
The Royal Bank of Scotland Group,2017,mortgage,1019,153319,0.006646,IAS39,The Royal Bank of Scotland Group plc,GBP,https://www.sec.gov/Archives/edgar/data/844150/000095010317002773/dp74265_20f.htm,Sector and geographical concentration (Credit risk): Personal - mortgages,"printed p338, FY2016 Form 20-F","Group consolidated (mortgage book 153,319m incl. Ulster/Ireland; total customer loans 327,478m). Provisions = IAS 39 balance-sheet allowance stock (not the P&L charge). Printed 'provisions as % of gross' = 0.7% matches. Higher than peers due to distressed Irish/Ulster tail."
The Royal Bank of Scotland Group,2017,unsecured_retail,900,14492,0.062103,IAS39,The Royal Bank of Scotland Group plc,GBP,https://www.sec.gov/Archives/edgar/data/844150/000095010317002773/dp74265_20f.htm,Sector and geographical concentration (Credit risk): Personal - unsecured,"printed p338, FY2016 Form 20-F","'Personal - unsecured' is a single IAS 39 line = credit cards + personal loans + overdrafts; excludes 'Finance leases and instalment credit' (12,269m, separate), so no motor. Printed 'provisions as % of gross' = 6.2% matches."
The Royal Bank of Scotland Group,2019,mortgage,839,165081,0.005082,IFRS9,The Royal Bank of Scotland Group plc,GBP,https://www.sec.gov/Archives/edgar/data/844150/000110465919011451/a18-40313_120f.htm,Portfolio summary - sector analysis (audited): Personal / Mortgages,"printed p137, FY2018 Form 20-F","Group consolidated (mortgage book 165,081m; UK 150,233m) - not the ~24bn ring-fenced RBS plc slice. Allowance = total ECL stock, all stages. Mortgages include ~0.7bn Private Banking secured per ECL methodology. IFRS 9."
The Royal Bank of Scotland Group,2019,unsecured_retail,958,13794,0.06945,IFRS9,The Royal Bank of Scotland Group plc,GBP,https://www.sec.gov/Archives/edgar/data/844150/000110465919011451/a18-40313_120f.htm,Portfolio summary - sector analysis (audited): Personal / Credit cards + Other personal,"printed p137, FY2018 Form 20-F","Unsecured = Credit cards (230/4,216) + Other personal (728/9,578) = 958/13,794. 'Other personal' = unsecured personal loans/overdrafts; no motor/secured in these lines. IFRS 9 ECL, all stages."
The Royal Bank of Scotland Group,2022,mortgage,768,194011,0.003959,IFRS9,NatWest Group plc,GBP,https://investors.natwestgroup.com/~/media/Files/R/RBS-IR-V2/results-center/18022022/natwest-group-annual-report-accounts-2021.pdf,Sector analysis - portfolio summary (audited): Loans / ECL provisions by geography,"printed p221 (PDF p112), 2021 ARA",Mortgages. Gross = loans gross of ECL; allowance = total ECL provisions (Stages 1-3). NatWest Group consolidated.
The Royal Bank of Scotland Group,2022,unsecured_retail,1174,13369,0.087815,IFRS9,NatWest Group plc,GBP,https://investors.natwestgroup.com/~/media/Files/R/RBS-IR-V2/results-center/18022022/natwest-group-annual-report-accounts-2021.pdf,Sector analysis - portfolio summary (audited): Loans / ECL provisions by geography,"printed p221 (PDF p112), 2021 ARA","Unsecured = Credit cards (260/3,947) + Other personal (914/9,422); allowance 1,174m, gross 13,369m. 'Other personal' = unsecured personal loans/overdrafts; no motor line. IFRS 9."
